control,empre,alfanum,l1,l2,l3,l4,l5,l6,QR,A,B,POS,CAMBIO,IMA1,IMA2,IMA3,IMA4,IMA5,PAG,Bobina
34841684,CF,fA1pH9J, ,N,M, , ,T,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841684",E2,A4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341363,35
34841692,CF,cUzFrZ1,O, ,X, , ,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841692",A3,E2,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341371,35
34841695,CF,Aa5Sz2N,F, ,Z, ,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841695",C3,B5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341374,35
34841697,CF,J36Cen2,J, , ,K, ,D,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841697",D3,C7,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341376,35
34841705,CF,Ug1RT5S,H, , , ,X,M,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841705",D4,A5,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341384,35
34841713,CF,7K2955Z, ,B, , ,W,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841713",D5,D3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,341392,35
34841715,CF,ryPQDw3, , ,I,Q,K, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841715",D5,C5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,341394,35
34841717,CF,8sNVQox, ,G,G, , ,O,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841717",D5,B7,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341396,35
34841728,CF,z4qEQNx, ,Y,A, , ,Q,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841728",D6,E8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,341407,35
34841733,CF,WDPARk9,D,N, , ,K, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841733",D7,D3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341412,35
34841735,CF,WaQmz7A,G, ,Z, ,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841735",E7,C5,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341414,35
34841737,CF,Wf2CgP7,V,U, , , ,E,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841737",A7,A7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,341416,35
34841747,CF,Ekxc6cF,H,G, , ,J, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841747",C8,D7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341426,35
34841749,CF,GaPR6H3,W, , ,T,L, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841749",B8,D9,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341428,35
34841753,CF,TXrhqS5, ,K,B,R, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841753",C9,C3,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,341432,35
34841755,CF,RCbs7HM,X, ,Z, , ,Z,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841755",C9,E5,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,341434,35
34841759,CF,7P5Txm1, ,D,M,O, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841759",D9,B9,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341438,35
34841765,CF,z0pHWFj,Y, , ,L, ,Z,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841765",C0,C5,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341444,35
34841774,CF,jJZA5hR,Y, ,O, , ,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841774",E1,C4,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,341453,35
34841777,CF,TF2cOAJ,G,L, , , ,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841777",C1,D7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,341456,35
34841784,CF,2V7bXx6,C,Y, , ,T, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841784",B2,E4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341463,35
34841787,CF,Twxv24X, , ,S,Q, ,D,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841787",C2,D7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,341466,35
34841797,CF,oK729jc, ,X,H, , ,F,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841797",A3,D7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341476,35
34841799,CF,X48xHsX,M, , ,D,J, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841799",B3,E9,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341478,35
34841844,CF,Q7rntXP,N,U, , ,E, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841844",D8,E4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341523,35
34841898,CF,k3GJuZV, , , ,D,H,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841898",D3,E8,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341577,35
34841932,CF,SYC4EqK, , , ,T,W,S,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841932",D7,E2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341611,35
34841965,CF,uKv6KY2,X,Z, ,F, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841965",B0,B5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341644,35
34842015,CF,P0hyy7s, , ,B,L,G, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842015",C5,E5,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341694,35
34842027,CF,2W3k4Hd, , ,J, ,F,Q,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842027",D6,B7,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341706,35
34842244,CF,QYQEK1o, ,L,N, , ,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842244",D8,C4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341923,35
34842245,CF,9DpvRHV,C,U,C, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842245",A8,D5,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341924,35
34842254,CF,NnX85Kf, ,K,J,P, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842254",E9,A4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,341933,35
34842280,CF,pSj8vVp,H,K, ,I, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842280",D2,B0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341959,35
34842288,CF,PrGZe5U, , ,W,T,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842288",C2,D8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,341967,35
34842331,CF,7mdrudW, ,C, ,J,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842331",A7,A1,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,342010,35
34842561,CF,0wMpV3R,N, , ,B, ,S,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842561",E0,B1,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,342240,35
34842562,CF,Z9WcUSe,D, , , ,F,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842562",A0,B2,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,342241,35
34842563,CF,NxhVHp8, ,O,G,J, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842563",D0,E3,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,342242,35
34842584,CF,GswY0Mr,N,B, ,H, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34842584",D2,B4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,342263,35
34849156,CF,8J5BeVM, , ,K,S,O, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849156",E9,D6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,348835,35
34849296,CF,cak8fEA,U, , , ,J,E,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849296",A3,C6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,348975,35
34849303,CF,6Ra2yKh, ,J,X, , ,Q,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849303",E4,D3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,348982,35
34849324,CF,Chx4XD0, , ,C,D, ,O,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849324",B6,D4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,349003,35
34849349,CF,qtm9fzV,T,P, , , ,P,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849349",D8,B9,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,349028,35
34849415,CF,jmGfn85, ,L, ,U, ,X,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849415",D5,A5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,349094,35
34849418,CF,2AyGO6o,I,U, , , ,S,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849418",A5,C8,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,349097,35
34849421,CF,M6HjXoH,H, ,F,C, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849421",C6,C1,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,349100,35
34849423,CF,WKVxf6z,D, , ,S, ,J,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849423",D6,A3,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,349102,35
34849432,CF,9wAOrA3, ,H,G, , ,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849432",A7,E2,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,349111,35
34849437,CF,Ccwf6f1,C, , ,A,Q, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849437",A7,E7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,349116,35
34849450,CF,n6PnaBO,C, , ,I, ,L,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849450",B9,A0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,349129,35
34849454,CF,2MhvU9K,Z, ,J,H, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849454",D9,A4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,349133,35
34849456,CF,WZhH9yZ,O, ,N, , ,D,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849456",D9,B6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,349135,35
34849458,CF,pDFenA8, ,Y,A, , ,C,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849458",C9,A8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,349137,35
34849463,CF,SjusK5z, , ,U, ,O,H,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849463",A0,A3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,349142,35
34849471,CF,3vfuddW, ,B,S, ,U, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849471",A1,D1,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,349150,35
34849473,CF,8cUnKVp, , ,C,V, ,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849473",E1,C3,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,349152,35
34849476,CF,FH3b15O,W,Q,N, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849476",A1,D6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,349155,35
34849478,CF,sum5vck, ,Y,W,M, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34849478",D1,D8,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,349157,35
34850484,CF,0WsxoEd, , ,W,T,B, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850484",C2,C4,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350163,35
34850885,CF,8zFSSJh,R, ,G,R, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850885",A3,B5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,350584,36
34850886,CF,2KByEGK,R,V, , , ,E,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850886",B3,D6,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350585,36
34850887,CF,n8VqwAg, ,N,S, ,L, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850887",A3,B7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,350586,36
34850888,CF,2jEW43d, ,K, , ,N,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850888",A3,D8,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350587,36
34850889,CF,8t3gDCE,X, ,I, ,B, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34850889",B3,A9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,350588,36
